emotion,tweet
worry,@ Nickchien i am happy to break my twitter virginity with you two.
neutral,waiting for the last video to be rendered. while watching episode 11
worry,Yay! I just fixed my blog's CSS problem that messed up the design
excited,:] Today is a bank holiday so not many places will be open until tomorrow. Welcome back!
neutral,'s current goal is to lose 10 pounds by next tuesday! 120 here i come soooo ready for Gatlinburg!
happy,"Thanks hun, it was great"
sad,"hey, no we were second, kind sad, but it's ok guitar, guitar, guitar BBQ and good time what about you&gt;?"
excited,yeah it's my friends 18th today as well ^^ it's always like a running joke we have
happy,better than Hudgens. OMG our song came on on shuffle. What Would You Do - City High.
love,wow-thanks soo much. Hope your well
excited,does it mean you will b going 2 bed earlier on Mondays?
neutral,"is anxiously awaiting Rockets-Lakers game ... Yes, I finally got Tix for Games 3 &amp; 4 .... Yeahhhhh"
anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
worry,never thought my daughter would want to borrow my clothes... even less that she would suggest that i borrow hers... luckily it didnt fit
excited,Official whine-tweet for today. Nothing specified
worry,"i'm actually starting to quite like lily allen and her music, to be honest."
neutral,Found out that one great thing about living in Switzerland is the delicious bread - sometimes little things can make a difference
happy,"Hey, Good Morning guys!!"
neutral,looking for models for beauty shoot THIS THURSDAY in the Valley studio contact me if interested!
neutral,a trending topic: HAPPY STAR WARS DAY
excited,Welcome back to Japan
neutral,Yay! What are your plans for today? I'm seeing you Wednesday and Thursday
relief,haha im gonna follow my dreams now well...ur dream haha im still reading over it for the 90th time :p
love,Thanks! And yay for being in my guild!
worry,loves the way the sky looks now i.e. no cloud at all. but that would only mean that it's ultra hot outside.... http://plurk.com/p/rpb7t
neutral,"Har Har, #swineflu is everywhere: http://twitpic.com/4jb4o (via "
neutral,Hmph. This is nowhere near as effective as it was a few mins ago. I wonder if it was a coincidence. FOLLOWERS: please report ur findings
sad,borred what everyone doingn check out links on my profile
love,That's ok then.... I accept the slave role... Your wish is my command... hahaha
happy,enjoying my new car
neutral,the weather in Prague is like the weather in Belgium -&gt; rainy
neutral,"Hai there, who are you?"
worry,"Great day yesterday. Good win for Forest, some celebratory 'staying up' drinks, a trip to an unsuccesful bbq and ï¿½1.50 Stellas in Scream"
sad,it's Blockbuster week in New Zealand - &quot;Wolverine&quot; tomorrow followed by &quot;Star Trek&quot; on Thursday!
relief,"lol thanx, me too!"
neutral,just bought 6 new movies
neutral,"Back from umpireing trainging, making dinner"
happy,"Yeah, of course!"
relief,On way back home after a crazy night on the coast
love,"hahahahaha, I have a day off"
happy,"I usually do if there is choice, but I am lucky in that most foods I love are generally very healthy (except ice cream!!)."
neutral,im going to cardiff today. shopping
love,Done with HW...gonna read a bit then pass out. Got a cool week to look forward too in between all the mayhem
excited,cant wait till ur may 22 show!! u better stop by and hang out in newcastle xx
happy,"can't wait to be at home again.. let the sun shine and warm my frozen bones, please!"
neutral,on my tea break cant wait to drive home tonite!!
neutral,wolverine was a bit short. waiting for cat to get dressed then off to York for the day
love,"Good morning to you, however it's night time for me, so I am off to bed *hugs* Have a great day"
happy,again thanks to my dear neighboor who also gave me coffee when I needed it. She is the best
neutral,i'm out...
worry,walah me 2 still i am not getting the full idea
happy,No worries - thank google! There's nothing you can't find on there!
neutral,"I've never seen any of the X Men films but they are supposed to be good so I thought, why not?"
neutral,http://twitpic.com/4jbba - ohhh someone likes to play with their food.... heehee
happy,i am glad to break my twitter virginity with you two.
love,Totally enjoying my day off woohoo for Mondays.
excited,eeek!! Your coming!!!! Im soo excited to see you on Thursday!!
worry,"Nah... to be honest, I'm not a 'drinker' as such.... would rather have a protein shake and go for a run LOL"
excited,I am seriously contemplating timing my next trip home to catch his next fight. They show it in cinemas. Live! With beer!
sad,"have to avoid the burning desire to say I already have one no, no room for piglets, just enough room for chucks"
neutral,Bring it on till I fall asleep
happy,i reckon i could live of yogurt for a week if i had a good selection of flavors
excited,im home! videoke at Funtime.. yey! got loads of tickets! nyahahaha!
neutral,Oh please mark all toe tweets with #toe. is trying to make trening topic out of #toe
neutral,leaving work in 25 minutes to go to Broompark then to see the new flats then for lunch with Mandy and my dad.
neutral,"says alright, alright... I'm going already. Sheesh, well better be off early than late. http://plurk.com/p/rpbd5"
excited,is very excited! jonas tickets are on sale 2morrow
neutral,looks like is hiding money in an offshore bank account on behalf of last.fm http://bit.ly/CeT0s
excited,#momoTLV is always good IVA will have a special price for #momoTLV guests..
love,Gdnight Tweeters (: Night sleep tight and don't steal my blankets Otay! I love YOUS
neutral,OR... Something to do with all the Red Bull? Hmmm. You think maybe?
neutral,always
excited,Goodmorning World
neutral,is chilling at home
love,"A lovely weekend away at Kits Coty, now relaxed and well rested and ready for the week ahead. Back on NNC in two weeks"
happy,"tnx following, looking forward to tweet with you.."
excited,too complex and too much to consider on a day like today. Monday off. My brain is back tomorrow
happy,teehee. it was a good show anyway
neutral,Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...
happy,I'm still up! Thank you all for praying (: AHAHAHA! I'm watching Britney: For the Record until school. Today should be a good day
worry,"AM's good for us GMT-ish people, I think. Looking forward to it and hope you're batteries &amp; laptop will be recharged soon."
happy,You're welcome and thanks for inviting us to talk. #48hoursnz is like becoming a parent. No one can really prepare you for it
worry,I'm a new french girl in Twitter! And I speak English very bad
neutral,Just so i can see how they look with the other icons. Both themes btw.
happy,http://twitpic.com/4jam0 - Oh it's so beautiful! I'm happy you had a great time! Heartz
neutral,congratulations
love,heyahh i thought u wern't cumin to london till the 5th ? i love you taylorr ..xx
neutral,maybe you need to start a &quot;wholey created by evolution&quot; or &quot;wholely composed of matter&quot; flickr group
excited,"yvw hun ... I agree boy touts!! Freakin hate them with a vengeance! Good luck in sellin,sure someone will def snap up!!"
excited,you're in London?! Wow! I'm near there
excited,listening to faith spirituality and the internet
neutral,hypnotyst .... hmmmm... i should beware..
excited,"both, at the same time"
excited,"Ha! Just noticed it's Star Wars day! May the 4th be with you, always"
love,Welcome #Follow #Freude
relief,glad your feeling abit better! I think mine might be nearly gone now xD
neutral,"trying to learn for my oral exam, but I'm too distracted"
worry,my myspace profile is OLLLD NEWSZ i need to editeditedittt
excited,Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0 #postrock
worry,Not swine flu I hope! Take care of your health mate Tell me about your business derek_bell
neutral,(We got *both* kinds of music here...)
happy,Doing some test shooting later this afternoon. Did I mention being in Holland for an indie wine festival this week? My tongue is red.
neutral,"im with andrew it was a long, but fun day"
love,Welcome to two months ago! Banjo Tooie is about to be released!
happy,you must love sydney more dont leave us sydney kids xx
neutral,im sure jont wont mind sharing
sad,is sick!!!! and just chilling tonight watching Desperate Housewives
excited,This weekend? Haha yeah I'm free Oh is Satish sharing with us too? Oh and which day? Friday or sat?
neutral,thanks for the follow
excited,Hope you all have a great Bank Holiday Monday!
love,Is everyone for coffie?
happy,http://dayna.dreamwidth.org for the daily random-ness
worry,Good Morrow! How are you this fair morn?
happy,Aren't randoms what it's about?!!! I LOVE that it's Star Wars day - I didn't realise and I can't believe it's almost over!
neutral,"Hey, u like FOB 2! Follow me, luv 2 talk more, looking 4 frineds + followers! ~Ellen~"
happy,Sitting outside with my laptop Its kinda nice
sad,http://twitpic.com/4jber - aww .... then we wonder why they hate us later..... lol!!
love,haha i was in your boat yesterday.. you'll pick it up in no time
love,my love makes me sooo happy
happy,"and aww and HEEE. nicely done, your weekend guest! *approves a lot*"
neutral,Well what im working on isn't QUITE ready to post about publicly (still beta testing) but its a cool new script I coded
sad,"aww, i miss u already! and this DEF sums up the wknd lol"
neutral,is snuggled in bed reading
worry,I don't have any
neutral,Wanna come with? Before we go to Myka's party.
happy,Its Bank Holiday here so day off
love,Arrr. Exam is on next week.. Im dead.. bwahahaha.. I love you btw!!
happy,"Ouvindo &quot;The Wonders - All my only dreams&quot;, a melhor banda do mundo que nunca existiu. Pra comeï¿½ar bem o dia."
neutral,Hope you feel better soon little Magic Girl
relief,I'm back online!
neutral,hey ian.. May 7 din ako.. maybe we'll see each other.. or not.. cuz diff. schools tayo.. hahaha la lang.. :p
sad,That's why i'll be sticking to twitter clients.
excited,"Appreciated,uni email is helpful.."
relief,vll iwas mit kï¿½se
worry,is watching wolverine at last.
neutral,is still trying to udnerstand twitter
happy,Am happy to provide backup support for all murderous rampages
neutral,I'm medal drivin' home in 3 hours!
worry,yup. That's the thing. I think 3 is kinda acceptable and reasonable for proper lighting and fill in. U can run away with 2 tho
worry,"btw, i am actually just trying to get my own lazy bottom in gear. Me lots to do to and still not dressed !"
happy,Aww. I'm glad that I'm up at this obscenely late/early hour. Because I just found out that Forest Kline is engaged.
excited,"is now following Chester Bennington, awesome!"
relief,done with facebook. off to jamlegend
happy,good morning - you're up early! Feeling enthused to design your life? thanks to manics for that phrase
happy,"OMG! Taylors in London! Your near Scotland, please come visit Glasgow"
neutral,At work full of weekend vengaboys zane lowe wolf from gladiators porn memories
happy,"wooo what a fight !!! goooo Vicky , i am with you"
excited,everyone loves u sarah not just the tweeters! the today show couldnt stop raving about your beautifulness...
happy,attics to eden out today !
worry,I must have just missed &amp; I guess I scared &amp; off... Sorry
neutral,Negghead mix on the air! http://tinyurl.com/ckdwao
happy,good day
anger,hate public Internet... sometimes they don't even reach farther than the transmitter itself... and I'm sitting right next to it #WIN
worry,Leave multitasking to us women 
love,"mmm... hot chocolate, ugboots and topgear... life is good."
neutral,city in a bittt.
happy,i'm awake while others sleep
neutral,Good morning everyone! It's back to work for me - so won't be able to chat until tonight - I hope everyone has a great day!
worry,shut up.
happy,yeah thought it was awesome - glad to see some characters like Gambit brought back into the fold
love,"Aww tom, that made me smile We love you very much too xD"
excited,hey thanks for the follow ..
excited,"lol I like raawrrrr. Cuz I'm a vicious tiger. Rawwwwrrrr, grrrrr. lol"
worry,"house probably resembling your kind of heaven no? maybe Ciaran's angels have moved in with you, hence inability to locate!"
relief,should have started working on this lecture MUCH earlier using tag clouds from google news to explain basics of content analysis...
worry,well then close your pretty eyes and count boring sheep you'll be sleeping in no time
neutral,Microsoft Announced Windows 7 Release Candidate. Download available tomorrow
sad,that gets around the problem I had of doing it all myself good idea.
excited,it means that you are now FAMOUS. Congrats!
relief,Thanks. Photos look great - I'll comment them asap
love,aww thanx andy
happy,Waking Up In Vegas is goooooooooooooooooooooooood
love,Thanks to all my new followers!
excited,your in london? are you doing any shows here?
love,I love colorful horsies!
neutral,"u dont even need to go to the options, the button is right there (on top right corner)"
worry,"Ok back later, have a great time regardless of the weather PS I'm only a BB away!"
sad,"excellent, that's always a win.. i'm just dealing with a small clique of passive-aggressive, resistant managers.."
worry,Getting back my English minor exam soon. dum dum dum duuuum. Me and Margrete had a burping comp. haha. I WON
relief,Thank God is a sport and doesnt take offence in my jokes Unlike the three good friends who have stopped talking to me!
happy,You are very much welcome
relief,I'm going to open up PROVERBS and get as much wisdom as possible-I'm hungry!
relief,checking iDestroy sales.... sales are good
excited,cooking with my dad having lots of fun in the kitchen together
worry,"I wish I could work like you, dude..."
excited,Download movie &quot;Jackass 3&quot; http://tinyurl.com/caotku cool #movie
relief,"just finished the exam. I did ok, I guess."
happy,"Hi Michael! Wow, thanks for the kind words! Now I must find love connections for you just for your bg alone!"
happy,haha wow there's a song called 'hit me on twitter' lmao. okay g'night
love,loves twitter (Y) 38th post. mwaha x
neutral,thinks malibu is the drink for me lets all hit the bottle woop woop xx
worry,"Yes babe, you're so welcome!"
sad,"yeah real hard, but I know you'll get by with it... smile"
excited,When will you be saying &quot; hello there NEW ZEALAND &quot; haha 
happy,Yay! I too had some joy in that department
neutral,I have seen that you are following SEO &amp; Marbella We are making a SEO Event here in Marbella Do you speak spanish?
love,"Good Morning BTW - A public holiday in UK, love it and dinner tonoght with 2 special people."
neutral,Talking to Sarah and Lisa!
love,RB viboth ? http://blip.fm/~5jfu9
love,If you're flying to NZ www.hot.co.nz is a great way to get results in aggregate.
happy,I be having a drink with Marc while Izzy is sleepin woot woot!
love,Greg:Showing my friends AudioBoo http://audioboo.fm/ Everyone seems 2 love it. Ta for the headzup bro. So need 2 get iPhone. Roll on June
happy,Rockstar photographer shoot went great tonight. A little different than the usual stuff - very nice.
happy,aaa new follower! hiii
neutral,everything is near here in SG! but you have a point--sana hindi sa Jurong East ang office ni 
worry,of course LOL about to eat more
excited,"but i do emily ahahha you scare me, so it would work"
neutral,"get that fixed, after few years it can worth some thing"
neutral,finally a free monday
excited,wondering what on earth is this new tools for
love,"We're English (well in parts), it's Weather, it IS an obsession"
worry,"Oh, don't spoil my fun, lol"
happy,my b day is on may 13 but my party is on this sat come you gays
love,ah you say the nicest things
worry,"Granted, it won't do that, either"
neutral,Get: &quot;Fightstar - Mercury Summer&quot; here: http://tinyurl.com/dbm4n6 from: http://tinyurl.com/cnkhev #musicmonday #freemusic
happy,ready to go to Milan see ya'll this evening..
relief,"Slept like a log last night, now I'm full of energy"
sad,"when I see all the moms' on twitter and their tweets, I know its gonna be worth ir"
happy,done watching Slumdog Millionaire. Great Movie!
excited,lol fine by me long as its not the scary dude its all good
sad,morning.any plans for today?
happy,Oooh! Apple are in the trending topics again! xD Yay apple!
neutral,First time to Twitter..
worry,looking for my self... be right back.
worry,keep the faith it'll be over soon
happy,hahah okay then thanks for this short explanation ;)
neutral,On the way to home
neutral,haha dont we ever do that before many times
sad,lol I'm sure it would be the most kick azz version we've ever heard!
excited,we're waiting you here in Belgrade!! Can't wait!!
neutral,Aren't you suppossed to support the local economy ... LOL ... good for you and congrats
neutral,Have a good day
happy,A very exciting week
happy,"happy #juddday, carrie"
sad,I &lt;3 my blackberry
happy,good good!!
neutral,very talented Sam
happy,thanks man. I can't wait
happy,"good stuff, cant wait for the results"
neutral,"Tomorrow afternoon (well, later today actually) is a shoot with Seattle Sinner Newspaper and Femme Fatale Seattle photographers"
sad,morning miss sarah cyrus ;) WHAT'S UP? x
worry,Going to see star trek
sad,1:30am goin to sleeeeep
happy,hope our wishes come true someday.
love,Wahey! Fancy meeting you here Thanks for the tweet and great to be twittered together
love,heyyy you ALWAYS look nice wanna come to my friend's party? its june 8th long weekend in sydney
worry,"I feel ya pain, I've got myself a nasty cold too. Get better soon"
relief,"ahh but sometimes that's the best kind of day, lazing around doing very little with a cuppa"
neutral,i follow him now
happy,regarde les tant attendues photographies
neutral,I'm not impressed that it almost always rains on Bank Holidays !! Stil... It's a free day - no college
neutral,"yeah, not meant to be"
worry,More big hair rock for bank holiday Monday always seems fitting IMO ? http://blip.fm/~5jfuu
worry,the no tweeting guilt trip didn't stop you huh? I felt so bad!
sad,the next best thing other than being bored is being bored and being able to share it with people on twitter....
neutral,Man with a kickin' top hat just left. Invited me to blues jams session put on by street musicians. HarpmanHatter.
worry,Lots of money some DVDs and this cute thing!!! http://twitpic.com/4jble
worry,"first ripping off the bbc design, now bebo? For shame.."
neutral,Just got back &amp; saw yr tweet. It's 7.30pm monday here - mayday public holiday
neutral,I just woke up a little while ago i did sleep a couple of hours lol i'm wide awake now
worry,I'm hurtling headlong into a day of spanish and art. but my view is: after tomorrow it's just REVISION and extra frees
happy,"lol, thank you very much Hope you're having a great day!"
happy,"yay, just got my stuff from rygegrej.dk Perfect tastes like banana and apple"
worry,I can understand!
happy,"Xmas a week early? Hehe, at least you didn't have to do any last min shopping"
worry,I don't think I like this Roy Williams who dissects frogs while still alive &gt; You look like Chachi from Happy Days
relief,Afternoon from office My cubicle has been moved but not the system yippie! Mine is one of te few surviving &quot;good&quot; system..
worry,Is off to London
happy,"happy #juddday, tom"
happy,Heyy my teddy bear says i look very pretty and that Blake is to
worry,ahhh.. what about the others? like #hoppusday and etc? I'm such a spazz
sad,"Heh, that's happened to me before too. Hope the rest of your week goes better!"
excited,Make a videoblog!
neutral,There's like no one I ACTUALLY know on this shizz! Am dum diggin' it
happy,Hello! Happy bank holiday
happy,"Well, just catching my little piece of it - but I'm all for sharing"
neutral,"eh, june 15th are you going to the signing on the 18th, i think it is? x"
excited,back in bucharest
sad,nup no cd either.. just a whole bunch of zeros and ones you can have for free
worry,have been to portugal. and spain. and has a sore throat. scary?
neutral,yet...
happy,Happy National Star Wars day everyone!!
love,oh! i love that as well!! all of MCR songs are great! and happy star wars day to yaa xD
worry,"hey chicLit whats happening? Just trying to promote my business, it's really hard!"
excited,shout outs to good seein you tnite. WE takin over like DJ Khaled!
worry,I hope you aren't allergic to dust Choc or syrup?
happy,seriously. increasingly good nights. stoked on life! couldn't be happier #goodnight
happy,"Oh before I forgot, Happy Star Wars Day! May the Fourth be with you!"
worry,"Well, all I can do, is pray for you....."
love,it's the best day ever. it's my birthday
excited,Is looking forward to a yummy dinner with mizz Kate jones this evening!
happy,140 pages and i'm done with eclipse!
excited,"Is at coffee bean, met Dean"
sad,"Hehe, wondered wtf star wars day was and why it was the top trending topic. Now I get it. May the Fourth be with you, also."
love,The apple keyboard is really cool. i want one. they used it in doctor who
worry,"decent Australian guys are hard to find...trust me, you're better off with an American one"
neutral,my GF has an interview with them this week
happy,Going into town later to get myself a birthday present. An iPod Touch will do nicely I think
excited,"classics are timeless...dont believe me, check youtube, google, etc. Numbers dont lie &amp; i actually performed it last night,"
happy,Many many thanks!!! (it's about school!) Weeeee!!!
neutral,http://twitter.com/friends?page=20 press previous on that page.
relief,Still wide awake... fortunately I don't have to be up early.
excited,"Glad you like it took around 2 and a half hours, would have been less but i kept stopping for food breaks haha i was"
neutral,Let me guess.... Antiques &amp; Collectibles? Anywhere else you'd like to be?
neutral,not good enough!
neutral,"Off to work again. Yo ho, Yo ho, another day at the hell hole"
excited,Morning y'all. Looking forward to a nice BBQ today. Can everyone follow please?
relief,Chilling out....now the boys have gone Time To Relax
sad,ROFLMAO! I feel inspired to go start a huge bonfire now
love,Had some lovely sugar puffs and just been playing with my amazing dog jack
worry,star wars ............ is gay BOO??? i wanna do your jobe HAND IT OVER u can act as me at my high school LOL
neutral,Byebye
worry,Haha ! Go Martin ! His fixed our Ski like a million times ...
love,Thank you all once more for all your lovely birthday messages
happy,It's teddy chucking time
neutral,I'm tired from walking my dog hmm maybe a quick snooze
worry,its ok. im juz curious
neutral,hello you! you should totally go to the biggest shopping center in Europe and we can go shopping together xx
excited,I'll give u an icecream ?
neutral,Blog de uns colegas meus de BH
happy,MORNING!!! Hope you all have a lovely holiday Monday whatever you are goin to be up to!
happy,"Guys, follow for the RX Twitterwar!!!! DD GO GINOOOO!!!"
neutral,Less or more iTunes tuned up
worry,hi on twitter!!!LOL..i don't use it very much. its confusing sometimes. but yay!!!7 more days bubble!!!eeek xx
neutral,"endless set list... very long... grueling almost... also, sent to gordo's cell cuz he's no longer communicating with the internet in 140."
anger,Yea once - me and my friends flew out to amercia to see her w/ the Jonas brothers . have u? haha i hate bebo :p . aw cant wait
worry,did I miss something??
love,that video was funny i'm just signing up now and i'll vote for you!! x
neutral,"Woo! Two days till awesome gig, one day till Uni is finished for 12 days #gigs #3yp"
love,"I don't dig emo shit or that, but I like this song sorry emo's ? http://blip.fm/~5jg0u"
love,I love the smell of procrastination in the morning... oder so.
excited,"hey! im rly sick atm, so i cant stay and chat, but hope ur well"
relief,Having a cup of tea
excited,I dunno ;p How'd I end up waking up at 2 am? It's a mysterious world
happy,~ Happy Star Wars Day.every one ~ ...may the fourth be with you!
excited,star wars ............ is gay BOO??? i wanna do your job HAND IT OVER u can act as me at my high school LOL
sad,the dutchess - such a sad film but still a fave...
happy,haha check out our site its got some good ones too
sad,"Boring. Sunny Monday. No school. Tired. Lazy. Hungry. Yeah, in a great mood!"
neutral,have you check oceanup?&quot;miley cyrus justin gaston fight after lunch&quot; you ok with justin?hmmm.im with you whatever happen
neutral,eating cheeto puffs
neutral,lol. You must be new here
love,It's teddy-chucking time
neutral,Millenia mom.... I think I am in that category
worry,yupp t's better than people being rude to her x
excited,"Hey, nothing wrong with that!"
love,"; i think you should come back to brisbane, australia. we loved you here"
neutral,lï¿½m ti?c m?ng MM gia nh?p h?i ?i ah
sad,day started off bad but got better
sad,"am hungry.. going to eat... catch up with you guys later &amp; 4 people who are hurt by my sardonic quotes - why are you waiting, hit me back"
excited,Geez... it's like I bribed you for a follow back
happy,Britt - had to do it she came all the way down to say 'May the fourth be with you' - our work is done
neutral,fickleness seems appropriate for a Twitter user
happy,giving myself a manicure + pedicure ahhh how i've missed you nice pretty nails...
neutral,it is! ive done somethign like 200 updates today :S
neutral,http://twitpic.com/4jam0 - better lighting would have enhanced the photo... nice angle though...
excited,Not a prob hun
love,hey Chelsea! Is Your Arm hurtig from the vaccines we had todayyy? loveeya
relief,national starwars day today- may the fourth be with you
happy,You are welcome
worry,well well...so sorry! let's dance it's fabulous hobby
neutral,Bank holiday rock seems so fitting ? http://blip.fm/~5jg16
sad,ok i believe you.but i have a belly button.lol
happy,back at Wingman after a great weekend
love,"most definitely will! also, i wanted to say &quot;perfect time&quot; was my favorite track! it seriously made me tear up!"
relief,finished watching the movie 'mirrors'. I liked it but it really didnt do anything for me 5 out of ten i give it // cool http://g ...
love,it was ok. Cute @ times.
worry,My mom and my little sister're gonna be back home soooooooooooooooooooooooooooooooon
sad,"night out had 2 b put on hold 4 2 weeks coz i was so ill last nite, gutted! still had a nice nite tho but whers the sun gone!"
sad,in IT-lesson at school and eating salad
love,"yeah haha, may the 4th be with you"
excited,"Oh, I thought it's only a man-ly problem to not be able to figure out your mom. So now it's official! Mom's are weird!"
happy,mee too it's looks amazeeeeeee
love,Watching an episode of Friends during the lunch break
excited,listening to those litle hyperbirdies terrorizing the world since 4.30! lets cook em
neutral,Can't wait to go home to eat. Hope it's something good!
love,"Hej Malena, lycka till Eurovision! The United Kingdom will be voting for you!"
worry,"I feel so stupid for saying this, but.... I DON'T KNOW HOW TO TWITTER SOME ONE PLEASE HELP ME. Ppl please do not laugh, ok laugh but..."
love,oh such faith.......YOU&quot;LL SEE........i tell you........YOOOOUUUUU&quot;LLLL SSSSSSEEEEEEEE!
anger,"yeah it was shit D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right xxx &lt;33"
excited,"Easy, I'm trying to learn Serious and normal....two new words for me ;)"
neutral,"Im Duong in VietNam. Where r u from? I'm 19. I dont understand what you wrote down in twitter, please tell me! Thanks!"
relief,well then you can do what you want and not what visitors want you to find out : can be a +
neutral,IMHO this soft is the best to keep the chaos straight http://bit.ly/yuFil
neutral,You are the First to know that SinhalenFOSS ep22 is out with the big news. http://tr.im/kpoR
love,"awh Tom, thats really cute. i love you guys for that really, 'cause you care about fans x"
happy,"we had scones this afternoon!! they were great we're gonna make cupcakes this week, on Wednesday!"
neutral,Good rainy morning all
neutral,damnnn. training starts at 11. but that would have been cool. next timeee
happy,The cast of True Blood was there
happy,welcome to twitter my friend
neutral,"Munch away, my dear Watson, Munch away"
happy,that's a very cute picture ... but you don't get fat from licking BBQs ... he must have found some chops on someone else's ...
sad,Hate this song ? http://blip.fm/~5jg6f
relief,Congrats Hughesy to you and Holly on the safe arrival of Rafferty David Hughes! Hope all is well xoxo
excited,Haha I like that. You're actually saying thanks to the bots! Never looked at it like that.
sad,"Well after a glorious weekend, it's only bloody raining... Nice BH in order then!"
neutral,He's a good lad is wore Phil... known each other for 22 years now... seems like 5 minutes!! haha You ok Hayley?
neutral,is in PHP website upgrade hell on a Bank Holiday. How's that for planning!
neutral,yes please and if you're gone i might actually get some work done lol
love,"s/s aus fshionwk- zimmermann,illionare,dhini + gail sorronda,ROMANCE WAS BORN,lisa ho,CASSETTE SOCIETY-loved the tutu, balmain ispired?"
worry,"lol good..glad to hear it! I was totally paranoid when i bit of hair touched my ear or cheek, was mad! Ha! How's you?"
worry,whoaa kinda hard :O that one that you think will be interesting enough to tell
excited,"well, SNL is an acquired taste/ you're not listening properly. HAHA munching on walkers- cheese&amp;onions nw"
love,is chatting with Willy Valdez about comics
excited,Did find it weird as I think u gave me a ff recommendation too. All sorted then. I can vote for legalisation of pot too if u want
happy,The wedding couldn't have been more perfect
worry,my n95 hacked no signing needed.. thx OPDA
excited,Uh?Your US iTMS credit is loaded by your friend?That's really nice I wonder when any of my friends do the same for me.Hahaha.
love,Going to bed. Talk to ya later! goodnight birdies LOL
excited,-thanks i hope i do 2 iv been playing dmc4 like 5 times kinda sick of it hehe
neutral,Can't Play Solitaire For Crap lol More Updates Soon (Y)
love,Seesmic Desktop seems pretty good. Nice find
worry,but im not complaining.
neutral,"ow .. we go back to your last avatar, Is that your boyfriend who lying on bed? i see it!"
love,Love it! You look fabulous and it was so nice to learn something new about you
happy,Excellent analogy
happy,"not long till we go shopping dude, its gunna be rather fun"
love,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!"
neutral,ATL to NJ....almost home
neutral,we should definately be in Paris that week. if I get a job we most certainly will be
happy,"bank holiday Mondays rock, particularly when they follow the kind of Sunday I just had"
neutral,"I am saving for a Ipod Touch, a 1TB external and a RAM upgrade. No more morning coffees"
excited,oh that was good cake
love,Happy STAR WARS Day - May the fourth be with you!
neutral,Watching some vintage topgear
happy,good! you joined the dark side hahahaha we have cookies!
happy,"Hehehe I didn't really know that! Well, use your blog or Twitter to suggest interesting topics for ppl to engage in"
relief,No worries
excited,:: holy kraut. I canNOT stay up this late. But the book is done and in the author's in box. Tucking in with kitty-boys now. Nighty-night.
worry,funny that. We had outgoing email issues most of the day too. Thank the gods for seperate adsl2 connections
neutral,Bank holiday Off to the station now. Catch you all later.
happy,heading to Xtra-vision to get part 2 of Season 3 - CSI Miami baby!!!
worry,i've just woken up
worry,"happy bank holiday Monday, Tweeteramas! I'll be spending the day doing yoga and having OCD attacks. You?"
excited,"Hello there, Taylor I MISS YOU. Its been 2 months &lt;/3"
happy,"that was flippin' sweet, dudes. thanks for sharing"
neutral,I am going to see how long I can do this for.
sad,Yeah ill make sure i keep you updated.. i get it all delivered
neutral,Oh you are way up there! &gt;LOL No wonder it feels like snow.
neutral,next time you are around please let me and know and we will take you for lunch too
excited,And the first thing you did was get your twit on....
sad,then am anticipating the next ten days!
relief,"morning all, im off to sell 1.3 million quids worth of pproperty, well, i hope to, if i do i owe you all a drink on my commission"
worry,- 21 days to go Happy birthday for then
happy,"So proud of cg, took 5 yrs in the making to get that number 1 spot gnight twitter bugs...time to read myself to sleep."
excited,i'm just about to start the second one theres only two up yeah?
neutral,what did you decide on for din-dins?
excited,http://tinyurl.com/67sk5r Follow my blog and I'll follow yours
excited,"I'm not sure... But, 4719 fans in just a week is a wow to me! I guess they will soon overtake other Malaysian Page to be No.1."
love,your lisa rogers carpool is now my alltime fave!! Good work!!
sad,saw the deforestation.so not surprised of bad back but moan back at you.lol
excited,I can't really say much because none of it is set in stone.. but I'm planning a charity concert for Cystic Fibrosis
happy,Thank you! I hope the same for you!
happy,Good Morning! &quot;RETURN TO WILLEN ISLAND - Spring has most definitely sprung&quot; ... http://bit.ly/EyRtT ... enjoy
neutral,july!!!!
neutral,play vanessa hudgens new songs plz or vfactory
love,haappy bank holiday 2 weeeeks. aah!
excited,Don't let the sun catch you crying - Oh my.. so cool http://tinyurl.com/cugy8c
love,time to go home! take care guys! catch ya'll later when i get home.
happy,"She got it , ohh baby she got it.SINGAPORE I'm going to rock your city"
neutral,New music! Electro-Classical dedicated to Nikmis: http://is.gd/wys4
happy,"Photo: Got my prints a few days ago, ready for the NorskArt exhibition http://tumblr.com/xht1phgl3"
happy,"oh happy day!!! nice weather, smiling, happy baby and icecream later"
neutral,Hannah slept here last night just gave her her 5:00 AM bottle and she went right back to sleep but I'm up! lol
excited,lol how I met your mother
relief,Ah good. Glad to be useful.
worry,and what a scary reflection it was! thought you were going to wizz your pants
neutral,"Hee Hee! I only holiday in the gutter, try to get there once a week at least! Welcome! lol xx"
excited,"uft im tutoring the lil sis shes so cute, even though shes an eighth grader :p"
excited,I love avocado shakes! Especially so when blended with gula melaka and a touch of santan... noice
